region,month,arrivals,departures,net
Abay,Total,15905,22308,-6403
Aqmola,Total,29926,30862,-936
Aqtobe,Total,30092,31760,-1668
Almaty region,Total,80064,79166,898
Atyrau,Total,18662,20653,-1991
West Kazakhstan,Total,23808,25622,-1814
Jambyl,Total,32067,42387,-10320
Jetisu,Total,19131,28003,-8872
Qaraganda,Total,31132,34207,-3075
Qostanay,Total,24901,27891,-2990
Qyzylorda,Total,21141,26957,-5816
Mangystau,Total,29071,29724,-653
Pavlodar,Total,20431,23279,-2848
North Kazakhstan,Total,13471,16931,-3460
Turkistan,Total,63838,81904,-18066
Ulutay,Total,6014,7921,-1907
East Kazakhstan,Total,18700,20635,-1935
Astana city,Total,143183,109385,33798
Almaty city,Total,129864,94562,35302
Shymkent city,Total,51632,48876,2756
