region,month,arrivals,departures,net
Abay,Total,19797,26545,-6748
Aqmola,Total,34938,38264,-3326
Aqtobe,Total,36707,38908,-2201
Almaty region,Total,96340,96542,-202
Atyrau,Total,28350,30906,-2556
West Kazakhstan,Total,29923,31949,-2026
Jambyl,Total,41804,55485,-13681
Jetisu,Total,27532,36713,-9181
Qaraganda,Total,39338,43784,-4446
Qostanay,Total,28872,32533,-3661
Qyzylorda,Total,25397,32551,-7154
Mangystau,Total,38013,39205,-1192
Pavlodar,Total,24392,27929,-3537
North Kazakhstan,Total,15489,18962,-3473
Turkistan,Total,84829,107940,-23111
Ulutay,Total,7740,9967,-2227
East Kazakhstan,Total,22197,25082,-2885
Astana city,Total,182998,132920,50078
Almaty city,Total,160529,122416,38113
Shymkent city,Total,78388,74972,3416
